adp_rank_overall,adp_rank_skill,player,pos,team,consensus_adp,n_sources,source_spread,fp_ecr_half,delta_adp_minus_ecr,ecr_sd,ecr_best,ecr_worst,ffc_halfppr,yahoo,sleeper,rtsports,underdog_bestball,draftsharks_consensus
143,141,Denzel Boston,WR,CLE,148.9,3,24.9,151,-10,32.42,109,310,138.3,131.2,163.2,145.3,139.2,149.0
144,,Ka'imi Fairbairn,PK,HOU,151.1,3,48.1,204,,20.03,106,313,136.1,119.2,134.6,182.7,,
145,142,Brian Robinson,RB,ATL,151.8,3,18.2,155,-13,21.66,119,298,161.7,122.8,150.1,143.5,186.2,154.0
146,143,Keaton Mitchell,RB,LAC,152.4,3,59.2,141,2,30.69,111,337,155.7,132.2,180.4,121.2,129.4,148.0
147,144,Tyler Shough,QB,NO,153.9,3,31.9,126,18,26.11,88,287,137.5,130.0,169.4,154.9,125.9,147.0
148,,Jason Myers,PK,SEA,154.1,3,70.3,214,,19.83,135,317,136.1,124.4,127.9,198.2,,
149,145,Jordan Love,QB,GB,155.9,3,20.4,121,24,18.78,90,231,154.1,124.4,146.6,167.0,116.7,137.0
150,146,Hunter Henry,TE,NE,156.5,3,43.0,145,1,20.64,110,208,161.3,127.8,132.6,175.6,153.3,143.0
151,147,Tank Bigsby,RB,PHI,158.8,3,40.7,142,5,17.86,121,215,154.8,130.9,181.2,140.5,151.9,152.0
152,148,Jalen Nailor,WR,LV,160.5,3,38.0,169,-21,39.21,126,306,145.9,130.3,183.9,151.8,148.1,
153,149,Brenton Strange,TE,JAX,161.7,3,20.4,143,6,23.27,111,228,162.0,128.8,151.4,171.8,149.8,
154,150,Isiah Pacheco,RB,DET,162.2,3,43.1,157,-7,24.1,116,246,156.6,126.3,186.6,143.5,179.5,157.0
155,151,Oronde Gadsden,TE,LAC,163.9,2,91.9,160,-9,38.58,96,255,,126.5,117.9,209.8,174.9,138.0
156,152,Juwan Johnson,TE,NO,164.1,3,45.7,134,18,19.99,96,226,163.9,129.2,187.1,141.4,144.9,164.0
157,153,MarShawn Lloyd,RB,GB,166.6,3,63.7,168,-15,47.71,120,312,162.8,132.3,200.3,136.6,155.3,168.0
158,154,Chig Okonkwo,TE,WAS,166.9,2,10.1,150,4,28.13,109,253,,126.3,171.9,161.8,145.7,155.0
159,155,Jalen McMillan,WR,TB,167.8,3,58.4,161,-6,28.11,122,298,137.4,129.7,195.8,170.2,154.5,174.0
160,156,Kenyon Sadiq,TE,NYJ,169.2,2,47.2,184,-28,33.45,141,374,,130.0,145.6,192.8,181.9,159.0
161,157,Jauan Jennings,WR,MIN,169.5,3,55.3,162,-5,30.59,94,276,138.8,127.7,194.1,175.5,165.7,163.0
162,158,Dylan Sampson,RB,CLE,169.5,3,41.8,148,10,22.88,117,252,172.8,,188.7,146.9,174.4,169.0
163,159,Malik Willis,QB,MIA,172.0,3,36.0,136,23,46.19,92,496,156.5,124.8,192.5,166.9,134.0,160.0
164,160,Travis Hunter,WR,JAX,173.6,3,39.2,181,-21,35.84,109,297,158.2,126.7,165.1,197.4,152.4,
165,161,Omar Cooper Jr.,WR,NYJ,173.7,3,24.1,172,-11,37.56,135,318,161.9,130.4,173.3,186.0,162.2,165.0
166,162,Sam Darnold,QB,SEA,174.7,3,51.8,146,16,24.62,112,296,147.4,123.1,177.5,199.2,142.4,146.0
167,163,Mike Washington Jr.,RB,LV,175.1,3,44.3,196,-33,37.21,133,299,165.3,128.5,202.1,157.8,175.9,
168,164,T.J. Hockenson,TE,MIN,175.1,3,18.4,165,-1,25.61,131,253,177.1,129.7,164.9,183.3,170.6,172.0
169,165,Ricky Pearsall,WR,SF,179.6,2,129.7,,,,,,,114.7,244.4,,,
170,166,Jaydon Blue,RB,DAL,187.7,3,68.8,220,-54,45.96,126,349,167.0,127.9,232.5,163.7,172.8,185.0
171,167,C.J. Stroud,QB,HOU,194.7,3,47.2,140,27,27.61,107,295,166.0,125.8,204.9,213.2,146.6,166.0
172,168,Daniel Jones,QB,IND,198.6,3,57.8,152,16,36.31,104,313,165.9,127.9,206.2,223.7,145.4,178.0
173,169,David Njoku,TE,LAC,200.9,2,13.1,238,-69,26.22,154,309,,124.7,207.5,194.4,212.3,
174,170,Isaac TeSlaa,WR,DET,202.1,3,32.5,219,-49,24.62,160,298,180.7,126.0,212.4,213.2,190.1,
175,171,Greg Dulcich,TE,MIA,204.8,3,53.4,269,-98,43.07,128,361,177.0,132.1,230.4,207.0,187.4,
176,172,Dalton Schultz,TE,HOU,205.1,2,23.8,156,16,26.56,110,238,,129.2,193.2,217.0,163.0,180.0
177,173,Aaron Rodgers,QB,PIT,207.6,3,162.4,208,-35,48.78,128,493,,116.3,227.9,278.7,183.0,204.0
178,174,Terrance Ferguson,TE,LA,208.0,2,2.8,185,-11,41.66,129,394,,126.1,209.4,206.6,165.5,
179,175,James Conner,RB,ARI,210.9,2,10.8,212,-37,35.65,121,296,,126.1,216.3,205.5,215.5,198.0
180,176,Cooper Kupp,WR,SEA,218.0,3,119.2,234,-58,28.7,164,301,154.8,120.6,225.1,274.0,212.5,
181,177,AJ Barner,TE,SEA,218.2,2,65.6,167,10,23.8,123,245,,126.2,185.4,251.0,178.5,171.0
182,178,Cam Ward,QB,TEN,222.5,2,28.6,153,25,43.91,124,494,,125.7,208.2,236.8,153.6,176.0
183,179,Fernando Mendoza,QB,LV,229.8,2,103.0,228,-49,59.88,177,738,,120.8,178.3,281.3,185.8,
184,180,Tyreek Hill,WR,FA,236.6,2,46.4,317,-137,45.58,154,385,,131.5,213.4,259.8,215.6,
185,181,Bryce Young,QB,CAR,241.2,2,23.0,164,17,44.86,133,492,,122.8,229.7,252.7,164.5,183.0
186,182,Pat Freiermuth,TE,PIT,255.4,2,31.0,215,-33,26.42,154,289,,124.5,239.9,270.9,196.9,208.0
